id,架空氏名,架空所属,区分,守備位置,投げ腕,打席,身長(cm),体重(kg),Tier,確信度,推定実所属(未確定),判断根拠メモ,参照URL
fiction-2026-091,松浦 弾,上野南高,高校生,捕手,右,右,180,84,,unidentified,,id 090と同じ所属「上野南高」であり、同様に実在校を特定できなかった。,
fiction-2026-092,岡倉 雷,六峰高,高校生,投手,右,左,174,65,,unidentified,,「六峰高」に対応する実在校を特定できる手がかりが今回も得られなかった。,
fiction-2026-093,内杜 心平,関嶺学園高,高校生,内野手,右,右,179,77,,low,関東学園大学附属高等学校（推定・未検証）,「関嶺学園高」は群馬県館林市の関東学園大学附属高等学校（関東学園→関嶺学園、東→嶺の置換）を示唆する可能性がある。同校は実在の野球部として秋季大会に出場しているが、内野手（179cm/77kg）「内杜心平」に対応する個人の裏付けは得られなかった。,https://www.kanto-gakuen.ac.jp/high/news/2024/09/77.htm; https://baseball.omyutech.com/teamTop.action?teamId=11275
fiction-2026-094,松坂 晟波,関嶺学園高,高校生,投手,右,右,175,73,,low,関東学園大学附属高等学校（推定・未検証）,id 093と同じ所属仮説（関東学園大学附属高等学校）。投手（175cm/73kg）「松坂晟波」に対応する個人の裏付けは得られなかった。,https://www.kanto-gakuen.ac.jp/high/news/2024/09/77.htm
fiction-2026-095,島 武史,北岳高,高校生,外野手,右,右,187,92,,unidentified,,「北岳高」から北海道の北海高校・北照高校を連想したが、いずれも確度の高い裏付けは得られず、外野手（187cm/92kg）「島武史」に対応する個人も特定できなかった。,
fiction-2026-096,工野 歩武,開晴学園高,高校生,外野手,右,右,186,80,,unidentified,,「開晴学園高」から島根の開星高校を連想したが、実在校名に「学園」が含まれない点で構造が一致せず、確度の高い裏付けは得られなかった。外野手（186cm/80kg）「工野歩武」の特定にも至らなかった。,
fiction-2026-099,佐浦 大輔,常峰大菊原高,高校生,投手・外野手,左,左,182,71,F,unidentified,,「常峰大菊原高」に対応する実在校を絞り込める手がかりが今回も得られなかった。Tier Fの投手・外野手（182cm/71kg、左投左打）「佐浦大輔」の特定にも至らなかった。,
fiction-2026-101,鈴杜 悠斗,関峰工高,高校生,外野手,右,右,176,83,,unidentified,,「関峰工高」に対応する実在校を特定できる有力な手がかりが今回も得られなかった。外野手（176cm/83kg）「鈴杜悠斗」の特定にも至らなかった。,
fiction-2026-102,小坂 瑠偉,土岐野紅峰高,高校生,捕手,右,右,172,81,,low,岐阜県立土岐紅陵高等学校,所属校「土岐野紅峰高」は土岐紅陵高等学校（岐阜）にほぼ確実に対応する。ただし捕手（172cm/81kg）「小坂瑠偉」に対応する個人は、部員名簿や大会記事を再検索しても特定できなかった。,https://gifu-aofull.jp/team/%E5%9C%9F%E5%B2%90%E7%B4%85%E9%99%B5/
fiction-2026-103,宮崎 紘誠,海峰高,高校生,内野手,右,右,170,69,,low,沖縄県立開邦高等学校,架空所属読み「かいほうこう」が実在校「開邦高校」（かいほう）と完全一致し所属校は確定的。ただし内野手（170cm/69kg）「宮崎紘誠」に対応する個人は、野球部の出場記録等を再検索しても特定できなかった。,https://www.kaiho-h.open.ed.jp/
fiction-2026-109,石杜 淳樹,大浜商大湊高,高校生,内野手,右,右,188,100,,low,大阪商業大学堺高等学校（推定・未検証）,「大浜商大湊高」は本バッチ内で確立された「大浜→大阪」置換パターンと「商大」の一致から、大阪商業大学堺高等学校（堺市の港湾地区「湊」に由来する可能性）を示唆すると推測したが、内野手（188cm/100kg）「石杜淳樹」に対応する個人の裏付けは得られなかった。,https://www.shodaisakai.ac.jp/club/baseball/
fiction-2026-116,杜 凛也,鳥岳育晴高,高校生,投手,右,左,173,74,,unidentified,,「鳥岳育晴高」から鳥取県の学校（鳥取中央育英高校等）を連想したが、「中央」に相当する要素が欠けており対応関係の確度は低く、投手（173cm/74kg）「杜凛也」の特定にも至らなかった。,
fiction-2026-122,北嶺 颯司,高晴商高,高校生,投手,右,右,182,69,,unidentified,,「高晴商高」について高知商業・高崎商業・高松商業・高岡商業など「高○商業」パターンの実在校を複数検索したが、いずれも「晴」との対応関係を裏付ける情報は得られず、182cm/69kgの右投右打投手候補も特定できなかった。,
fiction-2026-124,平倉 守,東峰高,高校生,捕手,右,右,175,80,,low,東邦高等学校,東邦高校（愛知）2026年メンバーに小牧ジュニアスワローズ～愛知湊ボーイズ出身、176cm/80kgの捕手が在籍することを再確認したが、検索スニペットからは氏名が得られず「平倉守」（175cm/80kg）との一致断定には至らなかった。,https://www.hb-nippon.com/teams/2737/players; https://www.kyureki.com/koko/101/1337/2026/member/
fiction-2026-126,上坂 暉太,祐岳高,高校生,投手,右,右,180,80,,low,祐誠高等学校,「祐岳高」は福岡県の祐誠高等学校（誠→岳の一字置換、「祐」を保持）である可能性が高いと新たに判明。ただし投手（右投右打、180cm/80kg）「上坂暉太」に対応する個人・出場記録は確認できなかった。,https://yusei.ed.jp/club/; https://www.kyureki.com/koko/118/2246/2025/member/
fiction-2026-127,山崎 瑛人,福岳工大城南高,高校生,内野手,右,左,178,81,,low,福岡工業大学附属城東高等学校,所属校は確定的（前段調査どおり）。2026年登録25人との情報は得たが、内野手（178cm/81kg、左打ち）「山崎瑛人」個人の学年別メンバー詳細はスニペットからは得られず特定に至らなかった。,https://denrei.net/fukuoka-jyoto-baseballclub/; https://baseball.omyutech.com/teamMember.action?teamId=15740
fiction-2026-128,宮野 結登,文陵高,高校生,捕手,右,右,176,85,,unidentified,,「文陵高」について文徳高校・郁文館・日本文理・京都文教など「文」を含む実在校を検索したが、いずれも確度の高い一致は得られず、対応校を特定できなかった。,
fiction-2026-131,田浦 彰斗,鵬晴高,高校生,内野手,右,左,169,69,,low,鵬翔高等学校（推定・未確証）,宮崎・鵬翔高校の存在は確認できたが、検索結果には2026年3年生・内野手の学年別メンバー詳細が得られず、169cm/69kg・左打ちの「田浦彰斗」個人の裏付けは今回も得られなかった。,https://baseball.omyutech.com/teamMember.action?teamId=14755; https://www.kyureki.com/koko/123/1479/
fiction-2026-133,長杜 武造,日元ヘルシア南島高,高校生,投手,右,右,183,85,,unidentified,,日本ウェルネス高等学校には東京（板橋）・茨城・沖縄の各キャンパスに野球部があることを確認したが、「南島」に対応する具体的な分校名や、183cm/85kgの投手「長杜武造」に対応する個人は特定できなかった。,https://www.wellness-school.com/baseball/; https://www.wellness-okinawa.net/course/course_sports.html
fiction-2026-134,富坂 恭汰,エナリックスポーツ高,高校生,外野手,右,右,183,70,,low,エナジックスポーツ高等学院,「エナリックスポーツ高」は沖縄県名護市のエナジックスポーツ高等学院（2022年創部、2025年センバツ初出場の通信制高校、ジ→リの一字置換）であると新たに判明。ただし外野手（右投右打、183cm/70kg）「富坂恭汰」個人の出場記録は確認できなかった。,https://www.oshiro.ed.jp/enagicsports-hs/baseball/; https://www.kyureki.com/koko/125/28984/2025/member/; https://spaia.jp/column/baseball/hsb/30937
fiction-2026-135,福崎 楽之介,エナリックスポーツ高,高校生,捕手,右,左,177,75,,low,エナジックスポーツ高等学院,id 134と同一校（エナジックスポーツ高等学院）。捕手（右投左打、177cm/75kg）「福崎楽之介」個人の出場記録は確認できなかった。,https://www.oshiro.ed.jp/enagicsports-hs/baseball/; https://www.kyureki.com/koko/125/28984/2025/member/
fiction-2026-138,川嶺 峻,青陵大,大学生,外野手,右,右,176,79,,unidentified,,「青陵大学」という名称の実在大学は検索で確認できず（倉敷青陵高校・青稜高校・川口青陵高校など高校名のみヒット）、青山学院大とは別大学との前提のもと青森大学等も検討したが根拠不十分で、外野手（176cm/79kg）「川嶺峻」に対応する大学・個人とも特定できなかった。,
fiction-2026-139,斉浦 主斗,青陵大,大学生,投手,右,右,180,73,,unidentified,,id 138と同じ「青陵大」所属。対応する実在大学を特定できなかった。,
fiction-2026-140,木倉 駿平,青陵大,大学生,投手,右,右,175,82,,unidentified,,"id 138, 139と同じ「青陵大」所属。対応する実在大学を特定できなかった。",
fiction-2026-144,小野 飛雄真,城峰国際大,大学生,内野手,右,左,173,73,,low,城西国際大学,"id 142, 143と同じ城西国際大学所属。右投左打・173cm/73kgの内野手「小野飛雄真」に対応する個人は特定できなかった。",https://www.kyureki.com/univ/6/2877/2025/member/
fiction-2026-151,衛崎 航太郎,順岳堂大,大学生,捕手,右,左,174,72,,low,順天堂大学,所属校（東都大学野球連盟・順天堂大学）は確定的。捕手（右投左打、174cm/72kg）「衛崎航太郎」に対応する新入部員情報はスニペットからは得られず特定できなかった。,https://www.kyureki.com/univ/12/2954/
fiction-2026-155,加浦 空,明陽大,大学生,投手,右,右,185,86,E,unidentified,,「明陽大」について明治大学（治→陽の一字置換の可能性）を仮説として検討したが、対応する裏付けは得られず、185cm/86kg・Tier Eの投手「加浦空」に一致する新入部員情報も確認できなかったため、所属校の断定には至らなかった。,
fiction-2026-156,西倉 晴斗,日元体育大,大学生,投手,左,左,178,86,G,low,日本体育大学,所属校は確定的。桐蔭学園出身の左投左打投手複数名（長濵達己177/78など）は前段で確認済みだが、178cm/86kg・Tier Gの「西倉晴斗」に一致する個人は特定できなかった。,https://nittaibaseball.com/member/member-cat/pitcher
fiction-2026-158,田坂 暁,筑岳大,大学生,捕手,右,左,180,84,,low,筑波大学（推定・未確証）,筑波大学野球部の捕手名簿を確認したが、180cm/84kg・右投左打の「田坂暁」に一致する選手は特定できず、所属校仮説自体の裏付けも依然弱い。,https://tsa.tsukuba.ac.jp/baseball/member-list/
fiction-2026-161,土瀬 章吾,福沢工業大,大学生,投手,右,右,171,75,,unidentified,,id 160と同じ「福沢工業大」候補（福岡工業大学／福井工業大学）だが、171cm/75kg・右投右打の「土瀬章吾」に一致する情報は得られず、所属校を一つに絞り込めなかった。,
fiction-2026-163,新浦 亮太郎,関南学院大,大学生,内野手,右,左,185,90,,low,関西学院大学（推定・未確証）,id 162と同じ仮説（関西学院大学）。185cm/90kg・右投左打の内野手「新浦亮太郎」個人の裏付けは得られなかった。,https://kansaibig6.jp/
fiction-2026-164,岡倉 光介,大浜工業大,大学生,外野手,右,左,184,84,F,unidentified,,「大浜工業大」について大阪工業大学（阪→浜の一字置換の可能性）を検討したが確証は得られず、184cm/84kg・右投左打の外野手「岡倉光介」に対応する個人・所属校とも特定できなかった。,
fiction-2026-168,森野 大斗,花岳大,大学生,投手,右,右,172,65,,unidentified,,「花岳大」に対応する実在大学を検索したが、東都・東京六大学等の加盟校一覧に該当する候補が見当たらず、手がかりなし。,
fiction-2026-171,木浦 永斗,上峰大,大学生,投手,右,右,185,91,E,unidentified,,「上峰大」に対応する実在大学を検索したが、加盟校一覧に該当する候補が見当たらず、手がかりなし。,
fiction-2026-173,米杜 天翔,東渚大,大学生,投手,右,右,174,78,,low,東洋大学,東洋大学野球部(東都大学野球連盟)の投手陣を再確認したが、174cm/78kg・右投右打の「米杜天翔」に該当する個人は特定できなかった。所属校仮説のみ維持。,https://www.kyureki.com/univ/12/2941/2025/member/
fiction-2026-175,松崎 尚,明知大,大学生,投手,右,右,181,92,F,low,明治大学,明治大学野球部投手陣を再検索。181cm/81kgの右投右打投手(日大一高出身、旧横浜大洋入団)は体重が11kg差で不一致。181cm/92kgに一致する現役部員は特定できず、所属校仮説のみ維持。,http://meiji-bbc.net/member/
fiction-2026-181,矢島 大成,北洋教育大岩見原校,大学生,投手,右,右,181,86,,low,北海道教育大学岩見沢校,北海道教育大学岩見沢校硬式野球部の公式サイト・部員紹介ページを確認したが、181cm/86kgの右投右打投手「矢島大成」に該当する個人は特定できなかった。所属校仮説のみ維持。,https://huei-baseballc.jimdofree.com/%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%E7%B4%B9%E4%BB%8B/
fiction-2026-185,小瀬 路彦,富川サンダーズ,その他,投手,右,右,186,81,,low,富山GRNサンダーバーズ,富山GRNサンダーバーズの選手情報を確認。186cm/85kgの内野手(右投右打)が見つかったがポジション・体重が不一致で除外。186cm/81kgの右投右打投手「小瀬路彦」に該当する個人は特定できなかった。,https://tbirds.jp/team/players/
fiction-2026-187,野浦 慶志朗,静岡ウインドランナーズ,その他,投手,右,右,180,78,,low,くふうハヤテベンチャーズ静岡,同球団に180cm/78kg前後・右投右打の投手が複数在籍する可能性を確認したが(中京大中京高-静岡大-全足利-BC信濃出身の投手、敦賀気比高-巨人出身178cm/82kgの投手など)、「野浦慶志朗」個人には結びつけられなかった。,https://hayateventures.jp/team/; https://www.kyureki.com/syakai/1389/34368/2026/member/
fiction-2026-192,渡野 都人,高陽バトルハウンズ,その他,投手,左,左,176,77,,low,高知ファイティングドッグス,[重複注意] fiction-2026-239と同一チーム・同一投打・同一身長体重の酷似データであり、同じ実在選手(渡邉都斗)に対応する可能性が高い。二重計上を避けるため本idではreal_nameを空欄とし、fiction-2026-239側での採用を維持する。,https://baseball.yahoo.co.jp/ipbl/player/2114566/top; https://player.draft-kaigi.jp/PlayerInfo.php?PlayerId=24694
fiction-2026-207,池崎 健太朗,クルマ自動車,社会人,投手,左,左,181,82,,unidentified,,「クルマ自動車」に対応する実在の自動車メーカー社会人野球チーム(トヨタ自動車など複数候補)を検索したが、左投左打・181cm/82kgの投手「池崎健太朗」に結びつく確証は得られなかった。,
fiction-2026-209,大瀬 善,西原ガス,社会人,投手,右,右,184,73,,low,西部ガス硬式野球部,「西原ガス」はガス会社チームの一部改変と推定し「西部ガス硬式野球部」(福岡)を仮説として調査。投手陣に松本翔・椋俊平の名は確認できたが、184cm/73kgの右投右打投手「大瀬善」個人には結びつけられなかった。,https://www.saibugas.co.jp/baseball/players/pitcher.htm
fiction-2026-210,尾嶺 完也,アソビリンク,社会人,投手,左,左,175,73,,unidentified,,「アソビリンク」に対応する実在の社会人野球チームを検索したが該当する候補が見つからず、手がかりなし。,
fiction-2026-211,柿浦 晟吾,ミライテック,社会人,投手,右,右,183,80,F,unidentified,,「ミライテック」について「未来工業」硬式野球部を仮説に検索したが、対応する実在チームの存在自体を確認できず、183cm/80kgの投手「柿浦晟吾」への手がかりも得られなかった。,
fiction-2026-216,後野 凌樹,クルマ自動車,社会人,投手,右,右,183,82,,unidentified,,『クルマ自動車』はトヨタ自動車・日産自動車・三菱自動車・ダイハツ工業等、自動車メーカー系社会人野球チームのいずれかと推測されるが、どの実在チームに対応するか裏付けを得られず、183cm/82kgの右投右打投手個人も特定できなかった。,
fiction-2026-218,寺嶺 大志,NEX東都,社会人,投手,右,右,179,76,,unidentified,,fiction-2026-053と同じ『NEX東都』表記。JR東日本・NTT東日本を候補として検討したが、179cm/76kgの右投右打投手に該当する具体的な選手情報は得られなかった。,
fiction-2026-220,中倉 大我,西都レール,社会人,投手,右,右,177,74,,medium,JR西日本硬式野球部,同バッチ内で「東都レール」=JR東日本硬式野球部という対応関係が投手個人まで含め複数件裏付けられたため、対称的な「西都レール」はJR西日本硬式野球部を指す蓋然性が高いと判断した。ただし177cm/74kg・右投右打の投手個人は検索予算切れのため特定できなかった。,
fiction-2026-225,古瀬 龍之丞,東都レール,社会人,投手,右,右,174,77,,medium,JR東日本硬式野球部,「東都レール」＝JR東日本硬式野球部という仮説は同バッチ内の他選手(fiction-2026-215、228)の個人特定によって裏付けが強化された。ただし174cm/77kg・右投右打に一致する投手個人は、今回追加検索したものの特定できなかった。,https://www.jreast.co.jp/en/baseball/player/
fiction-2026-227,松浦 賢太,ライフコネクト,社会人,投手,左,左,177,74,,unidentified,,『ライフコネクト』について日本生命・ライフネット生命等の生命保険系企業チームを候補として検討したが、177cm/74kgの左投左打投手という条件に合致する選手を確認できず、対応する実在チームも裏付けられなかった。,
fiction-2026-232,樫野 佳帆,アソビリンク,社会人,投手,右,右,166,71,F,unidentified,,『アソビリンク』に対応する実在の社会人野球チームを複数回検索したが、有力な手がかりは得られなかった。166cm/71kgの右投右打投手・Tier Fという情報からも個人を特定できなかった。,
fiction-2026-237,伊原 海也,新潟ハーベスト,その他,投手,左,左,176,79,G,unidentified,,「新潟ハーベスト」に対応する実在チームを検索したが、新潟の独立リーグ球団はオイシックス新潟アルビレックスBCのみで、同球団は2026年にNPBファームへ移行しており「その他」区分の独立リーグ選手という前提と整合しない。有力な対応チームを特定できなかった。,
fiction-2026-241,廣瀬 新太朗,静岡ウインドランナーズ,その他,外野手,右,左,177,75,G-,unidentified,,『静岡ウインドランナーズ』について、くふうハヤテベンチャーズ静岡（旧ハヤテ223）や静岡県民球団、静岡硬式野球倶楽部などを検討したが、対応関係を裏付ける情報は得られず、177cm/75kgの右投左打外野手という条件に合致する選手も特定できなかった。,
fiction-2026-242,上嶺 裕輝,新潟ハーベスト,その他,外野手,右,左,182,87,F,unidentified,,fiction-2026-237と同じ「新潟ハーベスト」表記であり、同様の理由で対応する実在チームを特定できなかった。,
fiction-us-2026-003,倉田 航,米レイクサイド大,その他,外野手,右,右,181,79,,unidentified,,『米レイクサイド大』について、Lake Erie College等『Lake』を含む米国大学を検索したが、該当する日本人外野手（181cm/79kg、右投右打）の情報は得られなかった。,
fiction-2026-243,進坂 翔哉,東南高,高校生,外野手,右,右,175,73,,unidentified,,『東南高』に対応する実在校を検索したが、豊南高校・塔南高校・東海南高校など類似名の学校しか見つからず、175cm/73kgの右投右打外野手という条件に合致する選手を特定できなかった。,
fiction-2026-244,八坂 皇輝,東陽国際大昌晴高,高校生,投手,右,右,180,75,,unidentified,,『東陽国際大昌晴高』について東京国際大学付属の系列校や昌平高校（埼玉）を候補として検討したが、対応関係を裏付ける情報は得られず、180cm/75kgの右投右打投手という条件に合致する選手も特定できなかった。,
fiction-2026-246,髙浦 将太,創岳高,高校生,投手,右,右,188,90,,low,作陽高等学校(現:おかやま山陽高等学校),前段仮説(「創岳高」＝作陽高校、学校再編後はおかやま山陽高等学校)を維持。188cm/90kg・右投右打の投手を追加検索したが、該当する個人選手は特定できなかった。,
