"id","氏名","読み","所属","所属略称","所属読み","所属読み対象","区分","守備位置","投げ腕","打席","身長(cm)","体重(kg)","Tier","人数算入除外"
"fiction-2026-024","石野 流斗","いしの りゅうと","函岳大","函岳大","かんがくだい","函岳大","大学生","投手","右","右","177","95","","false"
"fiction-2026-025","松瀬 徹","まつせ てつ","国際武峰大","国際武峰大","こくさいぶほうだい","国際武峰大","大学生","投手","左","左","179","78","","false"
"fiction-2026-026","沖嶺 奏","おきみね かなで","慶陵義塾大","慶陵義塾大","けいりょうぎじゅくだい","慶陵義塾大","大学生","投手","右","右","186","88","","false"
"fiction-2026-027","今浦 慶輔","いまうら けいすけ","慶陵義塾大","慶陵義塾大","けいりょうぎじゅくだい","慶陵義塾大","大学生","内野手","右","両","180","80","","false"
"fiction-2026-028","赤倉 隼","あかくら しゅん","国陽院大","国陽院大","こくよういんだい","国陽院大","大学生","内野手","右","右","174","73","F","false"
"fiction-2026-029","藤杜 一光","ふじもり かずみつ","日元体育大","日元体育大","にちげんたいいくだい","日元体育大","大学生","内野手","右","左","170","75","","false"
"fiction-2026-030","酒坂 成真","さかさか せいま","日元体育大","日元体育大","にちげんたいいくだい","日元体育大","大学生","外野手","右","右","175","78","","false"
"fiction-2026-031","種崎 太壱","たねさき たいち","武岳大","武岳大","ぶがくだい","武岳大","大学生","外野手","左","左","175","70","","false"
"fiction-2026-032","中野 海春","なかの みはる","関南大","関南大","かんなんだい","関南大","大学生","投手","右","右","176","84","","false"
"fiction-2026-033","宮瀬 颯太","みやせ そうた","北岳市立大","北岳市立大","ほくがくしりつだい","北岳市立大","大学生","投手","左","左","180","63","","false"
"fiction-2026-034","春嶺 公誠","はるみね こうせい","東渚九州大","東渚九州大","とうしょきゅうしゅうだい","東渚九州大","大学生","投手","右","右","170","75","","false"
"fiction-2026-035","松浦 優輝","まつうら ゆうき","筑岳大","筑岳大","ちくがくだい","筑岳大","大学生","投手","左","左","178","85","","false"
"fiction-2026-036","直倉 進","なおくら しん","日元大","日元大","にちげんだい","日元大","大学生","投手","右","右","172","70","","false"
"fiction-2026-037","江杜 颯汰","えもり そうた","日元大","日元大","にちげんだい","日元大","大学生","投手","右","右","177","88","","false"
"fiction-2026-038","高坂 純成","たかさか じゅんせい","大浜体育大","大浜体育大","おおはまたいいくだい","大浜体育大","大学生","投手","右","右","180","77","","false"
"fiction-2026-039","葛崎 倖樹","くずさき こうき","中峰学院大","中峰学院大","ちゅうほうがくいんだい","中峰学院大","大学生","投手","右","右","173","80","","false"
"fiction-2026-040","岡野 啓悟","おかの けいご","明知大","明知大","めいちだい","明知大","大学生","内野手","右","左","176","79","F","false"
"fiction-2026-041","伊瀬 櫂斗","いせ かいと","中峰大","中峰大","ちゅうほうだい","中峰大","大学生","内野手","右","右","178","78","E","false"
"fiction-2026-042","織坂 翔斗","おりさか しょうと","縦浜高","縦浜高","たてはまこう","縦浜高","高校生","投手","右","右","186","81","S","false"
"fiction-2026-043","末浦 良輔","すえうら よしすけ","沖縄尚峰高","沖縄尚峰高","おきなわしょうほうこう","沖縄尚峰高","高校生","投手","左","左","175","89","F","false"
"fiction-2026-044","山倉 凜太","やまくら りんた","智仁和歌山高","智仁和歌山高","ちじんわかやまこう","智仁和歌山高","高校生","捕手","右","右","176","81","","false"
"fiction-2026-045","小杜 舜佑","こもり しゅんすけ","縦浜高","縦浜高","たてはまこう","縦浜高","高校生","内野手","左","左","177","83","F","false"
"fiction-2026-046","樋坂 旬","ひさか しゅん","王城","王城","おうじょう","王城","社会人","投手","左","左","178","84","E","false"
"fiction-2026-047","柴崎 聖斗","しばさき せいと","王城","王城","おうじょう","王城","社会人","外野手","右","左","173","85","","false"
"fiction-2026-048","仲野 真","なかの しん","駒岳大","駒岳大","こまがくだい","駒岳大","大学生","投手","右","右","177","83","D","false"
"fiction-2026-049","常瀬 颯太","つねせ そうた","大浜経済大","大浜経済大","おおはまけいざいだい","大浜経済大","大学生","投手","左","左","179","80","","false"
"fiction-2026-050","杉嶺 真光","すぎみね まさみつ","智仁学園高","智仁学園高","ちじんがくえんこう","智仁学園高","高校生","投手","左","左","175","80","B","false"
"fiction-2026-051","前浦 侑太","まえうら ゆうた","高岳第一高","高岳第一高","こうがくだいいちこう","高岳第一高","高校生","投手","左","左","173","71","B","false"
"fiction-2026-052","伊倉 佳季","いくら よしき","東都ガス","東都ガス","とうとがす","東都ガス","社会人","投手","右","右","173","82","","false"
"fiction-2026-053","杜 煌成","もり こうせい","NEX東都","NEX東都","ねくすとうと","NEX東都","社会人","投手","右","右","183","90","F","false"
"fiction-2026-054","菰坂 陽斗","こもさか はると","山梨峰院高","山梨峰院高","やまなしほういんこう","山梨峰院高","高校生","投手・内野手","右","右","195.3","102","A","false"
"fiction-2026-055","沢井 優斗","さわい ゆうと","カナデ","カナデ","かなで","カナデ","社会人","投手","左","左","187","83","C","false"
"fiction-2026-056","藤野 涼輔","ふじの りょうすけ","東都ガス","東都ガス","とうとがす","東都ガス","社会人","外野手","右","右","187","90","C","false"
"fiction-2026-057","池瀬 聖磨","いけせ せいま","縦浜高","縦浜高","たてはまこう","縦浜高","高校生","内野手","右","左","176","78","D","false"
"fiction-2026-058","的嶺 吏久","まとみね りく","天岳大","天岳大","てんがくだい","天岳大","大学生","投手","右","右","186","71","D","false"
"fiction-2026-059","川浦 啓斗","かわうら けいと","亜洋大","亜洋大","あようだい","亜洋大","大学生","投手","右","左","188","84","D","false"
"fiction-2026-060","岡倉 翔人","おかくら しょうと","香峰丘高","香峰丘高","かほうがおかこう","香峰丘高","高校生","投手","右","左","180","75","E","false"
"fiction-2026-061","新杜 楓我","あらもり ふうが","奈涼大附属高","奈涼大附属高","なりょうだいふぞくこう","奈涼大附属高","高校生","投手","右","右","190","84","E","false"
"fiction-2026-062","近坂 琉唯人","ちかさか るいと","小峰双葉高","小峰双葉高","こみねふたばこう","小峰双葉高","高校生","投手","右","右","184","83","E","false"
"fiction-2026-063","高崎 瑛太","たかさき えいた","都条高","都条高","とじょうこう","都条高","高校生","内野手","右","左","172","70","C","false"
"fiction-2026-064","福野 陽奈太","ふくの ひなた","東渚大熊原星陵高","東渚大熊原星陵高","とうしょだいくまはらせいりょうこう","東渚大熊原星陵高","高校生","内野手","右","右","175","73","","false"
"fiction-2026-065","三瀬 秀人","みせ ひでと","鵡山高","鵡山高","むやまこう","鵡山高","高校生","投手","右","右","184","87","","false"
"fiction-2026-066","北嶺 晃太","きたみね こうた","八江学院光峰高","八江学院光峰高","やえがくいんこうほうこう","八江学院光峰高","高校生","投手","右","右","187","86","F","false"
"fiction-2026-067","高浦 鳳介","たかうら ほうすけ","遠原緑陵高","遠原緑陵高","とおはらりょくりょうこう","遠原緑陵高","高校生","捕手","右","右","170","75","","false"
"fiction-2026-068","髙倉 成人","たかくら なると","高岳高","高岳高","こうがくこう","高岳高","高校生","捕手","右","右","174","70","","false"
"fiction-2026-069","児島 寛太","こじま かんた","日元大山里高","日元大山里高","にちげんだいやまさとこう","日元大山里高","高校生","投手","右","右","180","76","","false"
"fiction-2026-070","谷坂 佑眞","たにさか ゆうま","尚陽高","尚陽高","しょうようこう","尚陽高","高校生","内野手","右","右","174","71","","false"
"fiction-2026-071","仲崎 宏","なかさき ひろし","常岳大高","常岳大高","じょうがくだいこう","常岳大高","高校生","投手","右","左","172","84","","false"
"fiction-2026-072","田野 瑛樹","たの えいき","関東峰園大附高","関東峰園大附高","かんとうほうえんだいふこう","関東峰園大附高","高校生","投手","左","左","188","88","","false"
"fiction-2026-073","森瀬 星","もりせ せい","桐岳第一高","桐岳第一高","とうがくだいいちこう","桐岳第一高","高校生","捕手","右","右","173","80","","false"
"fiction-2026-074","半沢 奏汰","はんざわ そうた","農岳二高","農岳二高","のうがくだいにこう","農岳二高","高校生","内野手","右","右","176","80","","false"
"fiction-2026-075","堀浦 千晃","ほりうら ちあき","伊奈峰園総合高","伊奈峰園総合高","いなほうえんそうごうこう","伊奈峰園総合高","高校生","外野手","右","両","163","58","","false"
"fiction-2026-076","水倉 将太","みずくら しょうた","春日原共明高","春日原共明高","かすがはらきょうめいこう","春日原共明高","高校生","外野手","右","右","176","73","","false"
"fiction-2026-077","亀杜 優次朗","かめもり ゆうじろう","山里学園高","山里学園高","やまさとがくえんこう","山里学園高","高校生","投手","左","左","184","93","","false"
"fiction-2026-078","青坂 広太","あおさか こうた","浦岳麗晴高","浦岳麗晴高","うらたけれいせいこう","浦岳麗晴高","高校生","外野手","左","左","178","76","","false"
"fiction-2026-079","黒崎 凌太","くろさき りょうた","花咲徳陽高","花咲徳陽高","はなさきとくようこう","花咲徳陽高","高校生","投手","右","右","183","86","F","false"
"fiction-2026-080","佐野 真悟","さの しんご","花咲徳陽高","花咲徳陽高","はなさきとくようこう","花咲徳陽高","高校生","捕手","右","右","177","81","","false"
"fiction-2026-081","石瀬 幸平","いしせ こうへい","千羽商高","千羽商高","せんばしょうこう","千羽商高","高校生","投手","右","右","178","86","","false"
"fiction-2026-082","加賀野 壱","かがの はじめ","県千羽高","県千羽高","けんせんばこう","県千羽高","高校生","投手","左","左","173","79","","false"
"fiction-2026-083","田浦 涼","たうら りょう","日元大三高","日元大三高","にちげんだいさんこう","日元大三高","高校生","捕手","右","右","180","92","F","false"
"fiction-2026-084","松倉 史音","まつくら しおん","雪渓高","雪渓高","せっけいこう","雪渓高","高校生","投手","右","右","184","77","","false"
"fiction-2026-085","三杜 空","みもり そら","平丘湘晴高","平丘湘晴高","ひらおかしょうせいこう","平丘湘晴高","高校生","投手","右","右","185","65","","false"
"fiction-2026-086","笹 晴也","ささ はるや","希望ヶ峰高","希望ヶ峰高","きぼうがみねこう","希望ヶ峰高","高校生","投手","左","左","184","75","","false"
"fiction-2026-087","柳 晃平","やなぎ こうへい","桐晴学園高","桐晴学園高","とうせいがくえんこう","桐晴学園高","高校生","投手","右","右","191","87","F","false"
"fiction-2026-088","菅原 琢太","すがわら たくた","日元大藤原高","日元大藤原高","にちげんだいふじはらこう","日元大藤原高","高校生","投手","右","右","185","83","","false"
"fiction-2026-089","宮瀬 晃兵","みやせ こうへい","日元大藤原高","日元大藤原高","にちげんだいふじはらこう","日元大藤原高","高校生","捕手","右","両","183","88","","false"
"fiction-2026-090","内嶺 稜","うちみね りょう","上野南高","上野南高","うえのみなみこう","上野南高","高校生","投手","右","左","178","69","E","false"
"fiction-2026-091","松浦 弾","まつうら だん","上野南高","上野南高","うえのみなみこう","上野南高","高校生","捕手","右","右","180","84","","false"
"fiction-2026-092","岡倉 雷","おかくら らい","六峰高","六峰高","ろっぽうこう","六峰高","高校生","投手","右","左","174","65","","false"
"fiction-2026-093","内杜 心平","うちもり しんぺい","関嶺学園高","関嶺学園高","せきみねがくえんこう","関嶺学園高","高校生","内野手","右","右","179","77","","false"
"fiction-2026-094","松坂 晟波","まつさか せいは","関嶺学園高","関嶺学園高","せきみねがくえんこう","関嶺学園高","高校生","投手","右","右","175","73","","false"
"fiction-2026-095","島 武史","しま たけし","北岳高","北岳高","ほくがくこう","北岳高","高校生","外野手","右","右","187","92","","false"
"fiction-2026-096","工野 歩武","くの あゆむ","開晴学園高","開晴学園高","かいせいがくえんこう","開晴学園高","高校生","外野手","右","右","186","80","","false"
"fiction-2026-097","塚瀬 悠季","つかせ ゆうき","金沢峰院大附高","金沢峰院大附高","かなざわほういんだいふこう","金沢峰院大附高","高校生","内野手","右","右","171","68","","false"
"fiction-2026-098","保坂 雅紀","ほさか まさき","日元航空石原高","日元航空石原高","にちげんこうくういしはらこう","日元航空石原高","高校生","投手・外野手","右","右","190","96","E","false"
"fiction-2026-099","佐浦 大輔","さうら だいすけ","常峰大菊原高","常峰大菊原高","とこみねだいきくはらこう","常峰大菊原高","高校生","投手・外野手","左","左","182","71","F","false"
"fiction-2026-100","後山 幸輝","あとやま こうき","沼原商高","沼原商高","ぬまはらしょうこう","沼原商高","高校生","捕手","右","右","181","86","","false"
"fiction-2026-101","鈴杜 悠斗","すずもり ゆうと","関峰工高","関峰工高","せきほうこうこう","関峰工高","高校生","外野手","右","右","176","83","","false"
"fiction-2026-102","小坂 瑠偉","こさか るい","土岐野紅峰高","土岐野紅峰高","ときのこうほうこう","土岐野紅峰高","高校生","捕手","右","右","172","81","","false"
"fiction-2026-103","宮崎 紘誠","みやざき こうせい","海峰高","海峰高","かいほうこう","海峰高","高校生","内野手","右","右","170","69","","false"
"fiction-2026-104","羽野 天真","はの てんま","滋賀峰園高","滋賀峰園高","しがほうえんこう","滋賀峰園高","高校生","外野手","右","右","175","74","","false"
"fiction-2026-105","西瀬 櫂理","にしせ かいり","京岳国際高","京岳国際高","きょうがくこくさいこう","京岳国際高","高校生","投手","左","左","178","76","","false"
"fiction-2026-106","川嶺 謙伸","かわみね けんしん","龍渓大平晴高","龍渓大平晴高","りゅうけいだいへいせいこう","龍渓大平晴高","高校生","投手","右","右","185","76","E","false"
"fiction-2026-107","野浦 健佑","のうら けんすけ","耐峰高","耐峰高","たいほうこう","耐峰高","高校生","投手","右","右","175","80","","false"
"fiction-2026-108","丹野 涼輔","たんの りょうすけ","市和歌川高","市和歌川高","しわかがわこう","市和歌川高","高校生","投手","右","右","185","77","F","false"
"fiction-2026-109","石杜 淳樹","いしもり じゅんき","大浜商大湊高","大浜商大湊高","おおはましょうだいみなとこう","大浜商大湊高","高校生","内野手","右","右","188","100","","false"
"fiction-2026-110","安坂 隼斗","やすさか はやと","履岳社高","履岳社高","りがくしゃこう","履岳社高","高校生","捕手","右","右","177","81","","false"
"fiction-2026-111","柿崎 樹久弥","かきざき きくや","大浜学院高","大浜学院高","おおはまがくいんこう","大浜学院高","高校生","内野手","右","左","177","66","","false"
"fiction-2026-112","谷野 瑛人","たにの えいと","大浜桐晴高","大浜桐晴高","おおはまとうせいこう","大浜桐晴高","高校生","内野手","右","左","177","77","","false"
"fiction-2026-113","中瀬 佳樹","なかせ よしき","大浜桐晴高","大浜桐晴高","おおはまとうせいこう","大浜桐晴高","高校生","外野手","右","両","170","70","","false"
"fiction-2026-114","松嶺 陽季","まつみね はるき","松峰高","松峰高","しょうほうこう","松峰高","高校生","内野手","右","右","179","74","","false"
"fiction-2026-115","𠮷浦 優太朗","よしうら ゆうたろう","松峰高","松峰高","しょうほうこう","松峰高","高校生","投手・外野手","左","右","179","75","","false"
"fiction-2026-116","杜 凛也","もり りんや","鳥岳育晴高","鳥岳育晴高","ちょうがくいくせいこう","鳥岳育晴高","高校生","投手","右","左","173","74","","false"
"fiction-2026-117","木杜 瑛司","きもり えいし","高山学園高","高山学園高","たかやまがくえんこう","高山学園高","高校生","投手","右","右","179","85","","false"
"fiction-2026-118","若坂 芽玖","わかさか めぐ","高山学園高","高山学園高","たかやまがくえんこう","高山学園高","高校生","内野手","右","左","177","68","","false"
"fiction-2026-119","柳崎 球太","やなぎさき きゅうた","宇野工高","宇野工高","うのこうこう","宇野工高","高校生","内野手","右","左","178","88","","false"
"fiction-2026-120","築野 朔也","つきの さくや","新野高","新野高","にいのこう","新野高","高校生","投手","右","右","186","80","","false"
"fiction-2026-121","黒瀬 斗希","くろせ とき","海辺高","海辺高","うみべこう","海辺高","高校生","投手","左","左","166","68","","false"
"fiction-2026-122","北嶺 颯司","きたみね そうし","高晴商高","高晴商高","こうせいしょうこう","高晴商高","高校生","投手","右","右","182","69","","false"
"fiction-2026-123","田浦 朝春","たうら あさはる","折岳愛晴高","折岳愛晴高","おりたけあいせいこう","折岳愛晴高","高校生","投手","右","右","173","72","","false"
"fiction-2026-124","平倉 守","ひらくら まもる","東峰高","東峰高","とうほうこう","東峰高","高校生","捕手","右","右","175","80","","false"
"fiction-2026-125","牟田 昇","むた のぼる","九岳国際大付高","九岳国際大付高","きゅうがくこくさいだいふこう","九岳国際大付高","高校生","外野手","右","右","180","89","B","false"
"fiction-2026-126","上坂 暉太","うえさか こうた","祐岳高","祐岳高","ゆうがくこう","祐岳高","高校生","投手","右","右","180","80","","false"
"fiction-2026-127","山崎 瑛人","やまさき えいと","福岳工大城南高","福岳工大城南高","ふくがくこうだいじょうなんこう","福岳工大城南高","高校生","内野手","右","左","178","81","","false"
"fiction-2026-128","宮野 結登","みやの ゆいと","文陵高","文陵高","ぶんりょうこう","文陵高","高校生","捕手","右","右","176","85","","false"
"fiction-2026-129","平瀬 玲斗","ひらせ れいと","大文商高","大文商高","だいぶんしょうこう","大文商高","高校生","投手・外野手","右","右","188","80","B+","false"
"fiction-2026-130","宮嶺 啓","みやみね けい","柳ヶ浜高","柳ヶ浜高","やなぎがはまこう","柳ヶ浜高","高校生","投手","左","左","171","76","","false"
"fiction-2026-131","田浦 彰斗","たうら あきと","鵬晴高","鵬晴高","ほうせいこう","鵬晴高","高校生","内野手","右","左","169","69","","false"
"fiction-2026-132","田倉 皐太","たくら こうた","日南峰園高","日南峰園高","にちなんほうえんこう","日南峰園高","高校生","投手・外野手","右","左","183","87","E","false"
"fiction-2026-133","長杜 武造","ながもり たけぞう","日元ヘルシア南島高","日元ヘルシア南島高","にちげんへるしあなんとうこう","日元ヘルシア南島高","高校生","投手","右","右","183","85","","false"
"fiction-2026-134","富坂 恭汰","とみさか きょうた","エナリックスポーツ高","エナリックスポーツ高","えなりっくすぽーつこう","エナリックスポーツ高","高校生","外野手","右","右","183","70","","false"
"fiction-2026-135","福崎 楽之介","ふくさき らくのすけ","エナリックスポーツ高","エナリックスポーツ高","えなりっくすぽーつこう","エナリックスポーツ高","高校生","捕手","右","左","177","75","","false"
"fiction-2026-136","井野 太志","いの たいし","北洋学園大","北洋学園大","ほくようがくえんだい","北洋学園大","大学生","内野手","右","右","180","86","","false"
"fiction-2026-137","西瀬 真兵","にしせ しんぺい","北洋文教大","北洋文教大","ほくようぶんきょうだい","北洋文教大","大学生","外野手","右","左","185","93","","false"
"fiction-2026-138","川嶺 峻","かわみね しゅん","青陵大","青陵大","せいりょうだい","青陵大","大学生","外野手","右","右","176","79","","false"
"fiction-2026-139","斉浦 主斗","さいうら かずと","青陵大","青陵大","せいりょうだい","青陵大","大学生","投手","右","右","180","73","","false"
"fiction-2026-140","木倉 駿平","きくら しゅんぺい","青陵大","青陵大","せいりょうだい","青陵大","大学生","投手","右","右","175","82","","false"
"fiction-2026-141","𠮷杜 凌兵","よしもり りょうへい","千羽商科大","千羽商科大","せんばしょうかだい","千羽商科大","大学生","投手","右","右","186","89","F","false"
"fiction-2026-142","石坂 春人","いしさか はると","城峰国際大","城峰国際大","じょうほうこくさいだい","城峰国際大","大学生","投手","右","右","174","80","","false"
"fiction-2026-143","阿崎 竜斗","あさき りゅうと","城峰国際大","城峰国際大","じょうほうこくさいだい","城峰国際大","大学生","内野手","左","左","173","75","","false"
"fiction-2026-144","小野 飛雄真","おの ひゅうま","城峰国際大","城峰国際大","じょうほうこくさいだい","城峰国際大","大学生","内野手","右","左","173","73","","false"
"fiction-2026-145","広瀬 浩誠","ひろせ こうせい","慶陵義塾大","慶陵義塾大","けいりょうぎじゅくだい","慶陵義塾大","大学生","投手","右","左","180","85","F","false"
"fiction-2026-146","吉嶺 鉄平","よしみね てっぺい","慶陵義塾大","慶陵義塾大","けいりょうぎじゅくだい","慶陵義塾大","大学生","捕手","右","右","170","67","","false"
"fiction-2026-147","小浦 大斗","こうら だいと","慶陵義塾大","慶陵義塾大","けいりょうぎじゅくだい","慶陵義塾大","大学生","外野手","右","左","174","76","","false"
"fiction-2026-148","吉倉 太晴","よしくら たいせい","慶陵義塾大","慶陵義塾大","けいりょうぎじゅくだい","慶陵義塾大","大学生","内野手","右","左","180","90","","false"
"fiction-2026-149","落杜 智樹","おちもり ともき","立敬大","立敬大","りっけいだい","立敬大","大学生","捕手","右","右","167","80","","false"
"fiction-2026-150","藤坂 康純","ふじさか やすずみ","法岳大","法岳大","ほうがくだい","法岳大","大学生","外野手","右","左","170","68","","false"
"fiction-2026-151","衛崎 航太郎","えざき こうたろう","順岳堂大","順岳堂大","じゅんがくどうだい","順岳堂大","大学生","捕手","右","左","174","72","","false"
"fiction-2026-152","當野 航太","とうの こうた","東景農業大","東景農業大","とうけいのうぎょうだい","東景農業大","大学生","外野手","右","左","170","80","","false"
"fiction-2026-153","比瀬 佑人","ひせ ゆうと","亜洋大","亜洋大","あようだい","亜洋大","大学生","投手","右","右","188","91","","false"
"fiction-2026-154","南原 佑真","みなみはら ゆうま","国陽院大","国陽院大","こくよういんだい","国陽院大","大学生","投手","右","左","189","91","","false"
"fiction-2026-155","加浦 空","かうら そら","明陽大","明陽大","めいようだい","明陽大","大学生","投手","右","右","185","86","E","false"
"fiction-2026-156","西倉 晴斗","にしくら はると","日元体育大","日元体育大","にちげんたいいくだい","日元体育大","大学生","投手","左","左","178","86","G","false"
"fiction-2026-157","生杜 亜勇汰","いくもり あゆた","日元体育大","日元体育大","にちげんたいいくだい","日元体育大","大学生","投手","右","左","177","72","G","false"
"fiction-2026-158","田坂 暁","たさか あきら","筑岳大","筑岳大","ちくがくだい","筑岳大","大学生","捕手","右","左","180","84","","false"
"fiction-2026-159","星崎 翔汰","ほしざき しょうた","城峰大","城峰大","じょうほうだい","城峰大","大学生","投手","右","右","185","88","","false"
"fiction-2026-160","向野 大作","むかいの だいさく","福沢工業大","福沢工業大","ふくざわこうぎょうだい","福沢工業大","大学生","投手","右","左","177","84","F","false"
"fiction-2026-161","土瀬 章吾","つちせ しょうご","福沢工業大","福沢工業大","ふくざわこうぎょうだい","福沢工業大","大学生","投手","右","右","171","75","","false"
"fiction-2026-162","飯嶺 泰誠","いいみね たいせい","関南学院大","関南学院大","かんなんがくいんだい","関南学院大","大学生","投手","左","左","180","88","","false"
"fiction-2026-163","新浦 亮太郎","あらうら りょうたろう","関南学院大","関南学院大","かんなんがくいんだい","関南学院大","大学生","内野手","右","左","185","90","","false"
"fiction-2026-164","岡倉 光介","おかくら こうすけ","大浜工業大","大浜工業大","おおはまこうぎょうだい","大浜工業大","大学生","外野手","右","左","184","84","F","false"
"fiction-2026-165","野杜 亮介","のもり りょうすけ","仏陽大","仏陽大","ぶつようだい","仏陽大","大学生","投手","右","左","177","82","","false"
"fiction-2026-166","小坂 一徹","こさか いってつ","びわの成晴スポーツ大","びわの成晴スポーツ大","びわのせいせいすぽーつだい","びわの成晴スポーツ大","大学生","投手","右","右","192","88","","false"
"fiction-2026-167","小崎 勇樹","こさき ゆうき","びわの成晴スポーツ大","びわの成晴スポーツ大","びわのせいせいすぽーつだい","びわの成晴スポーツ大","大学生","投手","右","右","180","81","","false"
"fiction-2026-168","森野 大斗","もりの だいと","花岳大","花岳大","かがくだい","花岳大","大学生","投手","右","右","172","65","","false"
"fiction-2026-169","佐々野 大我","ささの たいが","九岳共立大","九岳共立大","きゅうがくきょうりつだい","九岳共立大","大学生","投手","左","左","180","78","","false"
"fiction-2026-170","佐嶺 幻英","さみね げんえい","米ペンリッジ州立大","米ペンリッジ州立大","べいぺんりっじしゅうりつだい","米ペンリッジ州立大","大学生","投手","右","右","180","85","","false"
"fiction-2026-171","木浦 永斗","きうら えいと","上峰大","上峰大","かみみねだい","上峰大","大学生","投手","右","右","185","91","E","false"
"fiction-2026-172","尋 航次朗","たずね こうじろう","東渚大","東渚大","とうしょだい","東渚大","大学生","投手","右","右","182","85","","false"
"fiction-2026-173","米杜 天翔","よねもり てんしょう","東渚大","東渚大","とうしょだい","東渚大","大学生","投手","右","右","174","78","","false"
"fiction-2026-174","松坂 快成","まつさか かいせい","神奈山大","神奈山大","かなやまだい","神奈山大","大学生","投手","右","右","191","87","","false"
"fiction-2026-175","松崎 尚","まつさき なお","明知大","明知大","めいちだい","明知大","大学生","投手","右","右","181","92","F","false"
"fiction-2026-176","森野 光希","もりの こうき","立敬大","立敬大","りっけいだい","立敬大","大学生","投手","左","左","184","86","","false"
"fiction-2026-177","野瀬 元樹","のせ げんき","京岳産業大","京岳産業大","きょうがくさんぎょうだい","京岳産業大","大学生","投手","右","右","182","85","F","false"
"fiction-2026-178","福嶺 聖也","ふくみね せいや","明知大","明知大","めいちだい","明知大","大学生","捕手","右","右","167","71","","false"
"fiction-2026-179","髙浦 新司","たかうら しんじ","東南福祉大","東南福祉大","とうなんふくしだい","東南福祉大","大学生","内野手","右","左","180","83","F","false"
